Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN /rest/v1/rpc/archive_orders_bulk,30,0,11,11.153290466791077,6.974674000957748,26.12833000057435,160.0,0.5283951827306665,0.0,11,12,12,13,14,17,26,26,26,26,26
POST,AUTH admin login,1,0,163.07479600072838,163.07479600072838,163.07479600072838,163.07479600072838,1964.0,0.017613172757688884,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,AUTH normal login,4,0,150.0,185.24582374948295,136.1740379998082,278.77208000063547,1969.0,0.07045269103075553,0.0,180,180,280,280,280,280,280,280,280,280,280
POST,WRITE /rest/v1/rpc/create_order_idempotent,114,0,10,12.500933166592676,6.633720000536414,56.98249699889857,597.2894736842105,2.007901694376533,0.0,10,12,12,13,18,28,46,51,57,57,57
,Aggregated,149,0,11,17.87760527512723,6.633720000536414,278.77208000063547,555.2416107382551,2.624362740895644,0.0,11,12,12,13,26,46,160,180,280,280,280
