Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH normal login,100,0,2900.0,2970.5803899199777,892.7529930006131,7382.217939000839,1968.87,0.34780802800680943,0.0,3000,3700,4200,4300,4900,5400,6500,7400,7400,7400,7400
GET,READ /auth/v1/user,3441,0,140.0,243.52115654780798,51.0989000013069,3060.331550999763,998.9965126416739,11.968074243714314,0.0,140,190,240,290,500,830,1200,1800,2700,3100,3100
GET,READ /rest/v1/menu_items,3626,0,9,15.882096190293396,3.6860470008832635,398.770935000357,2770.0,12.61151909552691,0.0,9,11,15,18,30,48,81,120,260,400,400
GET,READ /rest/v1/orders (my),4843,0,10,18.338618738178514,3.8073039995651925,485.0656250000611,3152.0,16.844342796369784,0.0,10,13,17,20,35,54,110,160,280,490,490
GET,READ /rest/v1/user_features (my),2330,0,8,15.319598027480904,3.2418529990536626,709.8062880013458,2.0,8.10392705255866,0.0,8,11,14,17,28,42,79,120,310,710,710
,Aggregated,14340,0,12,91.84877359916636,3.2418529990536626,7382.217939000839,2018.7064156206416,49.87567121617648,0.0,12,27,75,99,180,320,780,1300,4500,6500,7400
