Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ADMIN /rest/v1/orders,2520,1352,99,2073.754113728579,2.8549319995363476,17773.779933000696,2632.7722222222224,8.769430921903448,4.70486928825931,100,2700,3900,4400,5700,7800,10000,12000,17000,18000,18000
GET,ADMIN /rest/v1/users,2452,1312,110.0,2080.731436208406,2.530349998778547,17731.198892000975,135.01712887438825,8.532795484328275,4.56567197203862,110,2900,4000,4400,5600,7300,11000,12000,17000,18000,18000
POST,AUTH admin login,119,37,540.0,566.2368799580041,19.90075399953639,1885.9658170003968,1353.09243697479,0.41411201575655165,0.1287575175041379,540,650,750,800,1400,1800,1900,1900,1900,1900,1900
POST,AUTH normal login,621,211,530.0,531.0841820595907,8.058147999690846,2036.698637999507,1299.8148148148148,2.1610383343262067,0.7342658430641379,530,680,770,830,1000,1500,1900,1900,2000,2000,2000
GET,READ /rest/v1/menu_items,7624,3973,130.0,2101.606507118174,2.4278700002469122,17605.75943100048,1333.1413955928647,26.531008471663444,13.825773433619998,130,3000,3900,4400,5600,7300,10000,12000,17000,18000,18000
GET,READ /rest/v1/orders (my),9835,5209,120.0,2082.958267589431,2.3679790010646684,21156.8863650009,1489.4438230808337,34.22514012576207,18.12697050483931,120,3000,4000,4400,5700,7400,10000,12000,16000,21000,21000
GET,READ /rest/v1/users (self),7427,3947,120.0,2048.1507808765396,2.6734650000435067,17577.981430000364,60.660293523629996,25.845461689276547,13.73529517807655,120,2800,3900,4400,5700,7300,10000,12000,17000,18000,18000
,Aggregated,30598,16041,130.0,2040.8248165087123,2.3679790010646684,21156.8863650009,1084.9377410288255,106.47898704301655,55.821603737402064,130,2800,3900,4400,5600,7200,10000,12000,17000,18000,21000
