Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH normal login,8,0,150.0,179.31343637519603,134.69288799933565,275.30244199988374,1968.75,0.07914223488637871,0.0,160,160,270,270,280,280,280,280,280,280,280
GET,READ /auth/v1/user,109,0,66,81.45135886242724,44.86003899910429,391.880802999367,998.4678899082569,1.07831295032691,0.0,66,80,88,96,140,150,230,240,390,390,390
GET,READ /rest/v1/menu_items,95,0,6,7.156917652747851,3.358982999998261,32.68253399983223,2770.0,0.9398140392757471,0.0,6,7,8,8,9,16,24,33,33,33,33
GET,READ /rest/v1/orders (my),140,0,6,7.007936228598867,3.3014159998856485,26.647205999324797,3164.8571428571427,1.3849891105116274,0.0,6,7,7,8,9,12,22,25,27,27,27
GET,READ /rest/v1/user_features (my),71,0,6,7.307540408515373,3.327377000459819,30.15851800046221,2.0,0.7023873346166111,0.0,6,7,8,8,10,20,24,30,30,30,30
,Aggregated,423,0,7,29.533236938594836,3.3014159998856485,391.880802999367,1964.4326241134752,4.184645669617274,0.0,7,10,51,56,80,120,160,230,390,390,390
