Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ADMIN /rest/v1/orders,1134,0,58,309.82856539155,5.286558998705004,3822.981418001291,5666.0,6.646580613001097,0.0,60,140,290,480,1100,1600,2200,2500,2900,3800,3800
GET,ADMIN /rest/v1/users,1132,0,54,325.19728228443296,3.608228998928098,3669.740235000063,276.0,6.63485824860427,0.0,54,160,370,600,1100,1600,2000,2400,3100,3700,3700
POST,AUTH admin login,33,0,510.0,664.6293675151383,162.3107710001932,1946.4344370007893,1963.8484848484848,0.19341901254765098,0.0,510,710,780,1000,1400,1600,1900,1900,1900,1900,1900
POST,AUTH normal login,167,0,500.0,676.5238179281488,160.98049200081732,2280.840243000057,1968.8083832335328,0.9788174271350822,0.0,500,720,830,970,1500,1800,2100,2200,2300,2300,2300
GET,READ /rest/v1/menu_items,3437,0,56,311.5387618711036,3.4329419995628996,4368.55838199881,2770.0,20.14488321594777,0.0,56,130,310,510,1100,1600,2100,2400,3300,4400,4400
GET,READ /rest/v1/orders (my),4654,0,55,313.18897756962,4.531294000116759,4608.856772001673,3152.0,27.2779419514172,0.0,55,140,340,550,1100,1600,2000,2300,3300,4600,4600
GET,READ /rest/v1/users (self),3410,0,53,314.3987477959168,3.4157629997935146,4450.998049000191,115.0,19.986631296590602,0.0,53,130,320,520,1100,1600,2100,2400,4000,4500,4500
,Aggregated,13967,0,56,318.95332709716337,3.4157629997935146,4608.856772001673,2270.589389274719,81.86313176524368,0.0,56,140,350,550,1100,1600,2100,2300,3400,4500,4600
