Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH normal login,50,0,530.0,535.8054390798497,366.0619169986603,751.8027000005532,1968.74,1.8728452733182053,0.0,540,570,610,640,710,730,750,750,750,750,750
GET,READ /auth/v1/user,179,0,110.0,125.1598744134479,52.08952000066347,462.40384799966705,998.9832402234637,6.704786078479175,0.0,110,130,150,160,190,210,250,320,460,460,460
GET,READ /rest/v1/menu_items,169,0,8,16.432264224845607,3.5938270011683926,194.25799000055122,2770.0,6.330217023815534,0.0,8,10,10,11,30,92,120,140,190,190,190
GET,READ /rest/v1/orders (my),206,0,9,19.917999203844552,3.963634000683669,220.72497000044677,3164.0,7.716122526071006,0.0,9,10,12,15,67,92,120,130,220,220,220
GET,READ /rest/v1/user_features (my),99,0,8,18.651185545284974,3.7583430002996465,163.49446200001694,2.0,3.7082336411700463,0.0,8,9,10,11,74,100,140,160,160,160,160
,Aggregated,703,0,11,82.3904940725089,3.5938270011683926,751.8027000005532,1987.719772403983,26.332204542853965,0.0,11,80,100,120,180,460,590,670,750,750,750
