Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ADMIN /rest/v1/rpc/archive_orders_bulk,144,0,9,10.736746208408476,3.5082329995930195,53.136844999244204,197.79166666666666,2.604938831810137,0.0,9,11,12,13,15,17,37,42,53,53,53
POST,AUTH admin login,5,0,160.0,176.42788279990782,157.49132399832888,218.68591400016157,1963.6,0.09044926499340754,0.0,160,180,180,220,220,220,220,220,220,220,220
POST,AUTH normal login,25,0,170.0,168.3448875601607,133.71000200095295,224.47106599975086,1968.76,0.4522463249670377,0.0,170,170,170,180,210,220,220,220,220,220,220
POST,WRITE /rest/v1/rpc/create_order_idempotent,712,0,9,10.385978804856933,4.583858999467338,63.107580001087626,597.1348314606741,12.879975335061234,0.0,9,10,11,12,14,17,33,38,63,63,63
,Aggregated,886,0,9,15.837099284506223,3.5082329995930195,224.47106599975086,578.6444695259594,16.027609756831815,0.0,9,11,12,13,16,35,160,170,220,220,220
