Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ADMIN /rest/v1/orders,12,0,8,8.60071174975019,5.399137999120285,12.871530998381786,5683.0,0.21329350244678583,0.0,9,9,10,10,13,13,13,13,13,13,13
GET,ADMIN /rest/v1/users,15,0,7,8.30304100018111,4.552882999632857,29.120401000909624,276.0,0.2666168780584823,0.0,7,7,8,9,11,29,29,29,29,29,29
POST,AUTH admin login,1,0,126.39597700035665,126.39597700035665,126.39597700035665,126.39597700035665,1964.0,0.01777445853723215,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,AUTH normal login,4,0,120.0,151.62144074975004,116.8463089998113,202.3567849992105,1968.75,0.0710978341489286,0.0,160,160,200,200,200,200,200,200,200,200,200
GET,READ /auth/v1/user,36,0,77,83.31390422214706,48.50652200002514,190.67211099900305,998.9444444444445,0.6398805073403575,0.0,79,87,97,110,120,130,190,190,190,190,190
GET,READ /rest/v1/menu_items,39,0,7,7.919857999905407,3.791045999605558,35.44946399961191,2770.0,0.6932038829520539,0.0,7,8,9,9,11,16,35,35,35,35,35
GET,READ /rest/v1/orders (my),43,0,6,6.595335860300449,3.515675000016927,17.084608000004664,3165.0,0.7643017171009825,0.0,6,7,7,8,9,10,17,17,17,17,17
,Aggregated,150,0,8,30.349402346570667,3.515675000016927,202.3567849992105,2415.08,2.666168780584823,0.0,8,11,52,65,94,120,160,190,200,200,200
