Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ADMIN /rest/v1/orders,15,0,15,16.347451266725937,5.327286999090575,43.657688998791855,5666.0,0.7510225360024506,0.0,15,17,24,30,31,44,44,44,44,44,44
GET,ADMIN /rest/v1/users,21,0,9,18.58526776197236,3.575037999326014,140.41138799984765,276.0,1.0514315504034308,0.0,9,16,21,21,24,34,140,140,140,140,140
POST,AUTH admin login,7,0,150.0,239.09079800016895,110.44234600012715,705.5177639995236,1963.857142857143,0.35047718346781026,0.0,150,180,290,290,710,710,710,710,710,710,710
POST,AUTH normal login,33,0,150.0,250.32376196963236,110.5511989990191,722.6822660013568,1968.8181818181818,1.6522495792053913,0.0,150,200,330,480,590,650,720,720,720,720,720
GET,READ /rest/v1/menu_items,54,0,8,16.208581592662895,4.0037660000962205,172.94535500150232,2770.0,2.703681129608822,0.0,8,10,16,18,22,74,100,170,170,170,170
GET,READ /rest/v1/orders (my),75,0,10,18.38017646652588,4.22771599914995,182.54807699850062,3152.0,3.7551126800122527,0.0,10,14,19,23,29,65,170,180,180,180,180
GET,READ /rest/v1/users (self),62,0,8,15.599051370988873,3.420250999624841,105.7034149998799,115.0,3.104226482143462,0.0,8,13,20,22,29,38,79,110,110,110,110
,Aggregated,267,0,10,51.65071141946032,3.420250999624841,722.6822660013568,2107.1685393258426,13.36820114084362,0.0,10,20,28,39,140,200,520,650,720,720,720
